"pincode","city","state_code","cod","prepaid","pickup","zone"
"110085","DELHI","DL","Y","Y","Y","Z1"
"110086","Delhi","Delhi","Y","Y","Y","Z1"
"110087","DELHI","DL","Y","Y","Y","Z1"
"110088","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110089","Delhi","Delhi","Y","Y","Y","Z1"
"110090","Delhi","Delhi","Y","Y","Y","Z1"
"110091","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110092","Delhi","Delhi","Y","Y","Y","Z1"
"110093","DELHI","Delhi","Y","Y","Y","Z1"
"110094","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110095","DELHI","DELHI","Y","Y","Y","Z1"
"110096","Delhi","Delhi","Y","Y","Y","Z1"
"110097","DELHI","DL","Y","Y","Y","Z1"
"110098","Delhi","Delhi","Y","Y","Y","Z1"
"110099","New Delhi","DELHI","Y","Y","Y","Z1"
"110100","Delhi","Delhi","Y","Y","Y","Z1"
"110101","DELHI","DL","Y","Y","Y","Z1"
"110102","Delhi","Delhi","Y","Y","Y","Z1"
"110103","Delhi","Delhi","Y","Y","Y","Z1"
"110104","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110105","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110106","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110107","Delhi","Delhi","Y","Y","Y","Z1"
"110108","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110109","Delhi","Delhi","Y","Y","Y","Z1"
"110110","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110112","DELHI","DL","Y","Y","Y","Z1"
"110113","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110114","DELHI","DL","Y","Y","Y","Z1"
"110115","NEW DELHI","Delhi","Y","Y","Y","Z1"
"110116","DELHI","DL","Y","Y","Y","Z1"
"110117","Delhi","Delhi","Y","Y","Y","Z1"
"110118","Delhi","Delhi","Y","Y","Y","Z1"
"110119","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110120","DELHI","DL","Y","Y","Y","Z1"
"110121","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110122","DELHI","DELHI","Y","Y","Y","Z1"
"110124","DELHI","Delhi","Y","Y","Y","Z1"
"110125","Delhi","Delhi","Y","Y","Y","Z1"
"110151","#N/A","#N/A","Y","Y","N","Z1"
"110200","Delhi","Delhi","Y","Y","N","Z1"
"110201","DELHI","DELHI","N","Y","N","Z1"
"110202","Delhi","Delhi","N","Y","N","Z1"
"110203","DELHI","DELHI","N","Y","N","Z1"
"110204","Delhi","Delhi","N","Y","N","Z1"
"110205","DELHI","DELHI","N","Y","N","Z1"
"110206","Delhi","Delhi","N","Y","N","Z1"
"110207","DELHI","DELHI","N","Y","N","Z1"
"110208","Delhi","Delhi","N","Y","N","Z1"
"110301","DELHI","DELHI","Y","Y","Y","Z1"
"110302","DELHI","DL","Y","Y","Y","Z1"
"110401","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110402","DELHI","DL","Y","Y","Y","Z1"
"110403","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110501","DELHI","DELHI","Y","Y","Y","Z1"
"110502","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110503","DELHI","DELHI","Y","Y","Y","Z1"
"110504","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110505","DELHI","DL","Y","Y","Y","Z1"
"110506","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110507","DELHI","DL","Y","Y","Y","Z1"
"110508","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110509","DELHI","DL","Y","Y","Y","Z1"
"110510","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110511","DELHI","DELHI","Y","Y","Y","Z1"
"110512","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110601","DELHI","DL","Y","Y","Y","Z1"
"110602","NEW DELHI","Delhi","Y","Y","Y","Z1"
"110603","DELHI","DELHI","Y","Y","Y","Z1"
"110604","Delhi NCR","DELHI","Y","Y","Y","Z1"
"110605","DELHI","DL","Y","Y","Y","Z1"
"110606","NEW DELHI","DELHI","Y","Y","Y","Z1"
"110607","DELHI","DL","Y","Y","Y","Z1"
"110608","DELHI","Delhi","Y","Y","Y","Z1"
"110609","DELHI","DL","Y","Y","Y","Z1"
"110610","Delhi","Delhi","N","Y","N","Z1"
"110611","DELHI","DELHI","N","Y","N","Z1"
"111000","Delhi NCR","DELHI","N","N","Y","Z2"
"111001","DELHI","DELHI","N","Y","N","Z2"
"111100","Delhi NCR","DELHI","N","N","Y","Z2"
"111105","DELHI","DELHI","Y","Y","Y","Z2"
"111110","Delhi NCR","DELHI","N","Y","Y","Z2"
"111111","Delhi NCR","DELHI","N","N","Y","Z2"
"111112","DELHI","DELHI","Y","Y","Y","Z2"
"111113","DELHI","DL","Y","Y","N","Z2"
"111114","DELHI","DL","Y","Y","Y","Z2"
"111119","DELHI","DL","Y","Y","Y","Z2"
"111120","Delhi","Delhi","Y","Y","Y","Z2"
"111121","DELHI","DELHI","Y","Y","Y","Z2"
"114145","VIJAYPUR","JAMMU AND KASHMIR","Y","Y","N","Z2"
"116019","DELHI","DELHI","Y","Y","Y","Z2"
"119199","Delhi","Delhi","N","Y","N","Z2"
"120001","Delhi NCR","DELHI","Y","Y","Y","Z4"
"120002","GURGAON","HARYANA","Y","Y","Y","Z4"
"120004","FARIDABAD","HARYANA","Y","Y","N","Z4"
"121000","FARIDABAD","HR","Y","Y","Y","Z1"
"121001","Delhi NCR","DELHI","Y","Y","Y","Z1"
"121002","FARIDABAD","HARYANA","Y","Y","Y","Z1"
"121003","DELHI NCR","DELHI","Y","Y","Y","Z1"
"121004","FARIDABAD","HR","Y","Y","Y","Z1"
"121005","FARIDABAD","Haryana","Y","Y","Y","Z1"
"121006","BALLABGARH","HARYANA","Y","Y","Y","Z1"
"121007","Faridabad","Haryana","Y","Y","Y","Z1"
"121008","FARIDABAD","HR","Y","Y","Y","Z1"
"121009","DELHI NCR","DELHI","Y","Y","Y","Z1"
"121010","FARIDABAD","HARYANA","Y","Y","Y","Z1"
"121011","FARIDABAD","HARYANA","Y","Y","Y","Z1"
"121012","FARIDABAD","HR","Y","Y","Y","Z1"
"121013","Faridabad","Haryana","Y","Y","Y","Z1"
"121014","FARIDABAD","HR","Y","Y","Y","Z1"
"121015","Faridabad","Haryana","Y","Y","Y","Z1"
"121101","FARIDABAD","HR","Y","Y","Y","Z1"
"121102","PALWAL","Haryana","Y","Y","Y","Z1"
"121103","BALLABGARH","HARYANA","Y","Y","Y","Z1"
"121104","Nuh","Haryana","Y","Y","Y","Z1"
"121105","BALLABGARH","HARYANA","Y","Y","Y","Z1"
"121106","Hodal","Haryana","Y","Y","Y","Z1"
"121107","HODAL","HR","Y","Y","Y","Z1"
"121206","FARIDABAD","HARYANA","Y","Y","Y","Z1"
"121705","Mau","Uttar Pradesh","Y","Y","Y","Z1"
"122000","Gurgaon","Haryana","Y","Y","Y","Z1"
"122001","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122002","GURGAON","HARYANA","Y","Y","Y","Z1"
"122003","Gurgaon","Haryana","Y","Y","Y","Z1"
"122004","GURUGRAM","HR","Y","Y","Y","Z1"
"122005","GURUGRAM","HARYANA","Y","Y","Y","Z1"
"122006","GURUGRAM","HR","Y","Y","Y","Z1"
"122007","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122008","GURUGRAM","HARYANA","Y","Y","Y","Z1"
"122009","Gurgaon","Haryana","Y","Y","Y","Z1"
"122010","GURGAON","HARYANA","Y","Y","Y","Z1"
"122011","GURUGRAM","HARYANA","Y","Y","Y","Z1"
"122012","GURGAON","HARYANA","Y","Y","Y","Z1"
"122013","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122014","GURGAON","HARYANA","Y","Y","Y","Z1"
"122015","Gurgaon","Haryana","Y","Y","Y","Z1"
"122016","Gurgaon","Haryana","Y","Y","Y","Z1"
"122017","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122018","Gurgaon","Haryana","Y","Y","Y","Z1"
"122019","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122020","Gurgaon","Haryana","Y","Y","Y","Z1"
"122021","Gurgaon","Haryana","Y","Y","Y","Z1"
"122022","GURGAON","HARYANA","Y","Y","Y","Z1"
"122023","GURGAON","HARYANA","N","Y","N","Z1"
"122024","GURGAON","HARYANA","N","Y","N","Z1"
"122025","GURGAON","HARYANA","N","Y","N","Z1"
"122026","GURGAON","HARYANA","Y","Y","Y","Z1"
"122027","GURGAON","HARYANA","N","Y","N","Z1"
"122028","GURGAON","HARYANA","N","Y","N","Z1"
"122029","GURGAON","HARYANA","N","Y","N","Z1"
"122030","GURGAON","HARYANA","N","Y","N","Z1"
"122031","GURGAON","HARYANA","N","Y","N","Z1"
"122032","GURGAON","HARYANA","Y","Y","Y","Z1"
"122033","GURGAON","HARYANA","Y","Y","Y","Z1"
"122050","MANESAR","HARYANA","Y","Y","Y","Z1"
"122051","Gurgaon","Haryana","Y","Y","Y","Z1"
"122052","GURGAON","HARYANA","Y","Y","Y","Z1"
"122053","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122054","Delhi","Delhi","Y","Y","N","Z1"
"122055","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122098","Gurgaon","Haryana","Y","Y","Y","Z1"
"122100","BILASPUR","Chattisgarh","Y","Y","Y","Z1"
"122101","GURUGRAM","HR","Y","Y","Y","Z1"
"122102","Gurgaon","Haryana","Y","Y","Y","Z1"
"122103","NUH","HR","Y","Y","Y","Z1"
"122104","GGN PATAUDI REACH","HARYANA","Y","Y","Y","Z1"
"122105","DHARUHERA","HARYANA","Y","Y","Y","Z1"
"122106","Bhiwadi","Rajasthan","Y","Y","Y","Z1"
"122107","NUH","HR","Y","Y","Y","Z1"
"122108","Nuh","Haryana","Y","Y","Y","Z1"
"122109","Gurgaon","Haryana","Y","Y","Y","Z1"
"122110","Bhiwadi","Rajasthan","Y","Y","Y","Z1"
"122203","Gurgaon","Haryana","Y","Y","Y","Z1"
"122204","Gurgaon","Haryana","Y","Y","Y","Z1"
"122206","GURGAON","HARYANA","Y","Y","Y","Z1"
"122207","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122208","Delhi NCR","DELHI","Y","Y","Y","Z1"
"122209","Gurgaon","Haryana","Y","Y","Y","Z1"
"122210","Gurugram","HARYANA","Y","Y","Y","Z1"
"122211","Gurgaon","Haryana","Y","Y","Y","Z1"
"122213","GURGAON","HARYANA","Y","Y","Y","Z1"
"122214","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122215","GURUGRAM","HR","Y","Y","Y","Z1"
"122216","Delhi NCR","DELHI","Y","Y","Y","Z1"
"122217","GURUGRAM","HR","Y","Y","Y","Z1"
"122218","Gurgaon","Haryana","Y","Y","Y","Z1"
"122219","GURUGRAM","HR","Y","Y","Y","Z1"
"122220","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122223","Delhi","Delhi","Y","Y","Y","Z1"
"122224","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122225","GURUGRAM","HR","Y","Y","Y","Z1"
"122226","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122227","GURGAON","HARYANA","Y","Y","Y","Z1"
"122228","Delhi NCR","DELHI","Y","Y","Y","Z1"
"122229","GURGAON","HARYANA","Y","Y","Y","Z1"
"122230","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122231","GURUGRAM","HR","Y","Y","Y","Z1"
"122232","Gurgaon","Haryana","Y","Y","Y","Z1"
"122233","Gurugram","HARYANA","Y","Y","Y","Z1"
"122234","DELHI NCR","DELHI","Y","Y","Y","Z1"
"122412","Manesar","Haryana","N","N","Y","Z1"
"122413","Manesar","Haryana","Y","Y","Y","Z1"
"122414","Pataudi","Haryana","Y","Y","Y","Z1"
"122502","REWARI","Haryana","Y","Y","Y","Z1"
"122503","Bilaspur-HR","Haryana","Y","Y","Y","Z1"
"122504","GURGAON","HARYANA","Y","Y","Y","Z1"
"122505","Gurgaon","Haryana","Y","Y","Y","Z1"
"122506","GURUGRAM","HARYANA","Y","Y","Y","Z1"
"122508","Hodal","Haryana","Y","Y","Y","Z1"
"123001","NARNAUL","HARYANA","Y","Y","Y","Z4"
"123003","GURUGRAM","HARYANA","Y","Y","Y","Z4"
"123021","BAWAL","HARYANA","Y","Y","Y","Z4"
"123023","MAHENDRAGARH","Haryana","Y","Y","Y","Z4"
"123024","LOHARU","HARYANA","Y","Y","Y","Z4"
"123025","MAHENDARGARH","HR","Y","Y","N","Z4"
"123026","MAHENDARGARH","HR","Y","Y","N","Z4"
"123027","MAHENDARGARH","HR","Y","Y","Y","Z4"
"123028","Narnaul","Haryana","Y","Y","Y","Z4"
"123029","NARNAUL","HARYANA","Y","Y","Y","Z4"
"123031","Mahendragarh-HR","Haryana","Y","Y","Y","Z4"
"123034","Mahendragarh-HR","Haryana","Y","Y","Y","Z4"
"123035","Rewari","Haryana","Y","Y","Y","Z4"
"123101","Bhiwadi","Haryana","Y","Y","Y","Z4"
"123102","Rewari","Haryana","Y","Y","Y","Z4"
"123103","REWARI","HR","Y","Y","Y","Z4"
"123106","Bhiwadi","Rajasthan","Y","Y","Y","Z4"
"123110","GURGAON","HARYANA","Y","Y","Y","Z4"
"123301","Rewari","Haryana","Y","Y","Y","Z4"
"123302","KOSLI","HARYANA","Y","Y","Y","Z4"
"123303","Rewari","Haryana","Y","Y","Y","Z4"
"123304","KOSLI","HR","Y","Y","N","Z4"
"123305","Rewari","Haryana","Y","Y","Y","Z4"
"123401","REWARI","HARYANA","Y","Y","Y","Z4"
"123402","Rewari","HARYANA","Y","Y","Y","Z4"
"123411","Rewari","Haryana","Y","Y","Y","Z4"
"123412","Rewari","Haryana","Y","Y","Y","Z4"
"123413","REWARI","HR","Y","Y","Y","Z4"
"123414","BILASPUR","Chattisgarh","Y","Y","Y","Z4"
"123501","NEEMRANA","RAJASTHAN","Y","Y","Y","Z4"
"123502","Bhiwadi","Haryana","Y","Y","Y","Z4"
"123503","GURUGRAM","HR","Y","Y","Y","Z4"
"123504","Bilaspur-HR","Haryana","Y","Y","Y","Z4"
"123505","Gurgaon","Haryana","Y","Y","Y","Z4"
"123506","Bilaspur-HR","Haryana","Y","Y","Y","Z4"
"123507","GURUGRAM","HR","Y","Y","Y","Z4"
"123508","Bilaspur-HR","Haryana","Y","Y","Y","Z4"
"124001","ROHTAK","HR","Y","Y","Y","Z4"
"124002","Rohtak","Haryana","Y","Y","Y","Z4"
"124003","ROHTAK","HR","Y","Y","Y","Z4"
"124004","Rohtak","Haryana","Y","Y","Y","Z4"
"124005","ROHTAK","HR","Y","Y","Y","Z4"
"124006","Rohtak","HARYANA","Y","Y","Y","Z4"
"124007","ROHTAK","HR","Y","Y","Y","Z4"
"124008","Rohtak","Haryana","Y","Y","Y","Z4"
"124009","BAHAL","HR","Y","Y","Y","Z4"
"124010","Rohtak","HARYANA","Y","Y","Y","Z4"
"124021","ROHTAK","HARYANA","Y","Y","Y","Z4"
"124022","ROHTAK","Haryana","Y","Y","Y","Z4"
"124023","MAHAM","HR","Y","Y","N","Z4"
"124024","MAHAM","Haryana","Y","Y","N","Z4"
"124025","ROHTAK","HARYANA","N","Y","N","Z4"
"124026","ROHTAK","HARYANA","N","Y","N","Z4"
"124027","ROHTAK","HARYANA","N","Y","N","Z4"
"124028","ROHTAK","HARYANA","N","Y","N","Z4"
"124029","ROHTAK","HARYANA","N","Y","N","Z4"
"124030","ROHTAK","HARYANA","N","Y","N","Z4"
"124031","ROHTAK","HARYANA","N","Y","N","Z4"
"124101","Jhajjar","Haryana","Y","Y","Y","Z4"
"124102","Jhajjar","Haryana","Y","Y","Y","Z4"
"124103","ROHTAK","HARYANA","Y","Y","Y","Z4"
"124104","Jhajjar","Haryana","Y","Y","Y","Z4"
"124105","Jhajjar","Haryana","Y","Y","Y","Z4"
"124106","Charkhi Dadri","Haryana","Y","Y","Y","Z4"
"124107","Jhajjar","Haryana","Y","Y","Y","Z4"
"124108","Bilaspur-HR","Haryana","Y","Y","Y","Z4"
"124109","Jhajjar","Haryana","Y","Y","Y","Z4"
"124110","MAHAM","Haryana","Y","Y","N","Z4"
"124111","MAHAM","HR","Y","Y","Y","Z4"
"124112","Meham","Haryana","Y","Y","Y","Z4"
"124113","KALANAUR","HR","Y","Y","Y","Z4"
"124114","ROHTAK","Haryana","Y","Y","N","Z4"
"124122","BAHADURGARH","HARYANA","N","Y","N","Z4"
"124127","MEHAM","HARYANA","Y","Y","Y","Z4"
"124129","Meham","Haryana","Y","Y","Y","Z4"
"124139","Jhajjar","Haryana","Y","Y","Y","Z4"
"124140","CHARKHI DADRI","HR","Y","Y","N","Z4"
"124141","CHARKHI DADRI","HR","Y","Y","Y","Z4"
"124142","ATELA","HARYANA","Y","Y","Y","Z4"
"124146","KOSLI","HR","Y","Y","Y","Z4"
"124201","JHAJJAR","HARYANA","Y","Y","Y","Z4"
"124202","Jhajjar","Haryana","Y","Y","Y","Z4"
"124203","Jhajjar","Haryana","Y","Y","Y","Z4"
"124204","KALANAUR","HR","Y","Y","N","Z4"
"124301","ROHTAK","Haryana","Y","Y","N","Z4"
"124302","ROHTAK","HR","Y","Y","N","Z4"
"124303","Rohtak","Haryana","Y","Y","Y","Z4"
"124304","Rohtak","Haryana","Y","Y","N","Z4"
"124305","ROHTAK","Haryana","Y","Y","N","Z4"
"124401","ROHTAK","HR","Y","Y","Y","Z4"
"124402","ROHTAK","Haryana","Y","Y","N","Z4"
"124403","SAMPLA","HR","Y","Y","N","Z4"
"124404","SAMPLA","HR","Y","Y","Y","Z4"
"124405","#N/A","#N/A","Y","Y","Y","Z4"
"124406","SAMPLA","HR","Y","Y","Y","Z4"
"124407","SAMPLA","HR","Y","Y","N","Z4"
"124408","SAMPLA","HR","Y","Y","N","Z4"
"124409","KALANAUR","HR","Y","Y","N","Z4"
"124410","ROHTAK","Haryana","Y","Y","N","Z4"
"124411","KALANAUR","HR","Y","Y","Y","Z4"
"124412","Rohtak","Haryana","Y","Y","Y","Z4"
"124413","KALANAUR","HR","Y","Y","N","Z4"
"124416","ROHTAK","HR","Y","Y","Y","Z4"
"124500","Bahadurgarh","","Y","Y","N","Z4"
"124501","BAHADURGARH","Haryana","Y","Y","Y","Z4"
"124502","SAMPLA","HR","Y","Y","Y","Z4"
"124503","JHAJJAR","HR","Y","Y","N","Z4"
"124504","JHAJJAR","HR","Y","Y","Y","Z4"
"124505","Bahadurgarh","Haryana","Y","Y","Y","Z4"
"124506","BAHADURGARH","HR","Y","Y","Y","Z4"
"124507","Bahadurgarh","HARYANA","Y","Y","Y","Z4"
"124508","BAHAL","HR","Y","Y","Y","Z4"
"124509","BAHADURGARH","Haryana","Y","Y","Y","Z4"
"124510","BAHAL","HR","Y","Y","N","Z4"
"124511","KALANAUR","HR","Y","Y","N","Z4"
"124512","KALANAUR","HR","Y","Y","Y","Z4"
"124513","MEHAM","HARYANA","Y","Y","Y","Z4"
"124514","Meham","Haryana","Y","Y","Y","Z4"
"124515","MAHAM","HR","Y","Y","N","Z4"
"124516","MAHAM","HR","Y","Y","N","Z4"
"124517","BAHADURGARH","Haryana","Y","Y","Y","Z4"
"124524","JULANA","HARYANA","N","Y","N","Z4"
"124599","Delhi","","Y","Y","N","Z4"
"125000","HISSAR","Haryana","N","Y","N","Z4"
"125001","HISSAR","HARYANA","Y","Y","Y","Z4"
"125002","HISAR","HR","Y","Y","Y","Z4"
"125003","HISSAR","HARYANA","Y","Y","Y","Z4"
"125004","HISSAR","HARYANA","Y","Y","Y","Z4"
"125005","Hissar","HARYANA","Y","Y","Y","Z4"
"125006","HANSI","HR","Y","Y","Y","Z4"
"125007","HISSAR","HARYANA","Y","Y","Y","Z4"
"125008","HISAR","HR","Y","Y","N","Z4"
"125009","Hisar","Haryana","Y","Y","N","Z4"
"125011","HISSAR","HARYANA","Y","Y","Y","Z4"
"125012","HISAR","Haryana","Y","Y","N","Z4"
"125021","BHIWANI","HR","Y","Y","Y","Z4"
"125030","HISSAR","HARYANA","N","Y","N","Z4"
"125031","Hansi","Haryana","Y","Y","N","Z4"
"125032","HANSI","HR","Y","Y","N","Z4"
"125033","Hansi","Haryana","Y","Y","Y","Z4"
"125034","HANSI","HARYANA","Y","Y","Y","Z4"
"125035","HANSI","Haryana","Y","Y","N","Z4"
"125036","HANSI","HR","Y","Y","N","Z4"
"125037","Hansi","Haryana","Y","Y","Y","Z4"
"125038","Jind","Haryana","Y","Y","Y","Z4"
"125039","BARWALA","Haryana","Y","Y","Y","Z4"
"125040","NARNAUND","HR","Y","Y","N","Z4"
"125041","HISSAR","HARYANA","Y","Y","Y","Z4"
"125042","MAHAM","HR","Y","Y","Y","Z4"
"125043","BHUNA","HARYANA","Y","Y","Y","Z4"
"125044","Hisar","Haryana","Y","Y","Y","Z4"
"125045","HISSAR","HARYANA","Y","Y","N","Z4"
"125046","FATEHABAD","HR","Y","Y","N","Z4"
"125047","HISSAR","HARYANA","Y","Y","Y","Z4"
"125048","Fatehabad","Haryana","Y","Y","Y","Z4"
"125049","Hansi","Haryana","Y","Y","Y","Z4"
"125050","FATEHABAD","HARYANA","Y","Y","Y","Z4"
"125051","Ratia","Haryana","Y","Y","Y","Z4"
"125052","ADAMPUR","HR","Y","Y","Y","Z4"
"125053","MEHUWALA (HAR)","HARYANA","Y","Y","Y","Z4"
"125054","BHATTU","HR","Y","Y","Y","Z4"
"125055","Sirsa","Haryana","Y","Y","Y","Z4"
"125056","SIRSA","HR","Y","Y","Y","Z4"
"125057","HISSAR","HARYANA","Y","Y","N","Z4"
"125058","Fatehabad","Haryana","Y","Y","Y","Z4"
"125059","SIRSA","HR","Y","Y","N","Z4"
"125060","SIRSA","HR","Y","Y","Y","Z4"
"125061","SIRSA","Haryana","Y","Y","N","Z4"
"125062","SIRSA","HR","Y","Y","N","Z4"
"125073","RANIA","HR","Y","Y","N","Z4"
"125074","RANIA","HR","Y","Y","N","Z4"
"125075","RANIA","HR","Y","Y","Y","Z4"
"125076","Sirsa","Haryana","Y","Y","Y","Z4"
"125077","KALANWALI","HR","Y","Y","Y","Z4"
"125078","KALANWALI","Haryana","Y","Y","Y","Z4"
"125079","KALANWALI","HR","Y","Y","N","Z4"
"125080","KALANWALI","HR","Y","Y","N","Z4"
"125087","HISSAR","HARYANA","N","Y","N","Z4"
"125101","DABWALI","RJ","Y","Y","Y","Z4"
"125102","Ellenabad","Haryana","Y","Y","Y","Z4"
"125103","RANIA","HR","Y","Y","Y","Z4"
